GEN_ID,DOC_ID,EXP_ID,SYS_ID
76,S076,02_To_90,puduppully_aaai_19_rotowire_test.txt
77,S077,02_To_90,puduppully_aaai_19_rotowire_test.txt
78,S078,02_To_90,puduppully_aaai_19_rotowire_test.txt
79,S079,02_To_90,puduppully_aaai_19_rotowire_test.txt
80,S080,02_To_90,puduppully_aaai_19_rotowire_test.txt
81,S081,02_To_90,rebuffel_test_gen_not_paper.txt
82,S082,02_To_90,rebuffel_test_gen_not_paper.txt
83,S083,02_To_90,rebuffel_test_gen_not_paper.txt
84,S084,02_To_90,rebuffel_test_gen_not_paper.txt
85,S085,02_To_90,rebuffel_test_gen_not_paper.txt
86,S086,02_To_90,rebuffel_test_gen_not_paper.txt
87,S087,02_To_90,rebuffel_test_gen_not_paper.txt
88,S088,02_To_90,rebuffel_test_gen_not_paper.txt
89,S089,02_To_90,rebuffel_test_gen_not_paper.txt
90,S090,02_To_90,rebuffel_test_gen_not_paper.txt
